O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCn2nc(C(F)(F)F)nc2C1,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCn2c(nnc2C(F)(F)F)C1,O=C(c1ccc(F)cc1)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1
CC(C)=CCc1cc(C(=O)Nc2c(O)c3ccc(O[C@@H]4OC(C)(C)[C@H](O)[C@@H](OC(N)=O)[C@H]4O)c(C)c3oc2=O)ccc1O,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4cc(CC=C(C)C)c(O)c(CN5CCCC5)c4)c(=O)oc3c2C)OC1(C)C,COc1ccc(C(=O)Nc2c(OC)c3ccc(O[C@@H]4OC(C)(C)[C@H](OC)[C@@H](OC(N)=O)[C@H]4O)c(C)c3oc2=O)cc1CC=C(C)C

Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5ccccc5)n4)c3)cc(C(F)(F)F)c2)cn1,Cc1cn(-c2cc(CCC(=O)O)cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5ccccc5)n4)c3)c2)cn1











COc1ccc(Cl)c(Nc2nccnc2NS(=O)(=O)c2cccc(NC(=O)C(C)(C)N)c2)c1,COc1ccc(CCCO)c(Nc2nc3ccccc3nc2NS(=O)(=O)c2cccc(NC(=O)CN(C)C)c2)c1,COc1ccc(CCCO)c(Nc2nc3ccccc3nc2NS(=O)(=O)c2cccc(NC(=O)COCc3ccccc3)c2)c1








Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,Cc1cn(-c2cc(F)cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)c2)cn1,Cc1cn(-c2cc(NC(=O)c3ccc(Nc4nc(-c5cccnc5)cs4)c(C)c3)cc(C(F)(F)F)c2)cn1













O=C(c1ccccc1)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(c2ccccc2)CC1,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCn2cccc2C1






























Cc1cc(C(=O)N[C@H]2CCCCC/C=C\[C@@H]3C[C@@]3(C(=O)NS(=O)(=O)C3CC3)NC(=O)[C@@H]3C[C@@H](Oc4nc5cc(F)ccc5nc4C)CN3C2=O)no1,Cc1cc(C(=O)N[C@H]2CCCCC/C=C\[C@@H]3C[C@@]3(C(=O)NS(=O)(=O)C3CC3)NC(=O)[C@@H]3C[C@@H](Oc4nc5cc(F)ccc5nc4C(F)(F)F)CN3C2=O)no1,COc1cnc(O[C@@H]2C[C@H]3C(=O)N[C@]4(C(=O)NS(=O)(=O)C5CC5)C[C@H]4/C=C\CCCC[C@@H](C)[C@H](NC(=O)OC(C)(C)C(F)(F)F)C(=O)N3C2)c2ccccc12






























